VendorName,StockTurnOver,TotalPurchaseDollars,TotalSalesDollars,UnsoldInventoryValue,GrossProfit
CAMPARI AMERICA,0.9463915462888458,3179093.56,4235556.22,105241.7,1056462.66
THE PIERPONT GROUP LLC,0.9465648854961832,1781.6,2477.52,95.2,695.9200000000001
JIM BEAM BRANDS COMPANY,0.9471057804921693,19425450.03,25461545.75,833260.79,6036095.72
REMY COINTREAU USA INC,0.9473501585386686,2940600.95,3851120.9899999998,136385.48,910520.0399999998
CHARLES JACQUIN ET CIE INC,0.9479390367009837,287041.21,385492.31,7195.360000000001,98451.09999999999
MARSALLE COMPANY,0.9481268928206186,140869.38999999998,166471.82,5519.35,25602.43
"HOOD RIVER DISTILLERS, Inc.",0.9483333333333334,21961.42,23399.35,239.61,1437.9299999999996
SAZERAC CO INC,0.9505781618861537,7820535.56,10397784.49,265508.77,2577248.9299999997
DIAGEO NORTH AMERICA INC,0.95316939774275,37441983.26,49531726.21,1398598.76,12089742.95
HEAVEN HILL DISTILLERIES,0.9554882689456363,2127660.66,2877849.04,85282.27,750188.3799999999
CASTLE BRANDS CORP.,0.9581518162370327,934555.03,1220308.5,49791.840000000004,285753.47
ALTAMAR BRANDS LLC,0.959375,11427.199999999999,15346.93,464.23,3919.7300000000014
CANDIA VINEYARDS,0.9610848618818418,26888.48,38185.299999999996,1037.4499999999998,11296.819999999996
LUXCO INC,0.961564650318247,1324289.05,1813911.33,27355.78,489622.27999999997
AMERICAN VINTAGE BEVERAGE,0.9628009561241511,104435.68,139603.53,3672.17,35167.850000000006
SIDNEY FRANK IMPORTING CO,0.9628868693595531,1658806.94,2113815.88,58745.08,455008.94
SAZERAC NORTH AMERICA INC.,0.9632392591687519,3283217.88,4614123.0200000005,36682.94,1330905.1400000001
MCCORMICK DISTILLING CO,0.9636387376317461,216987.5,280187.99,5928.57,63200.48999999999
BLACK PRINCE DISTILLERY INC,0.9691358024691358,1406.1599999999999,1880.86,43.4,474.70000000000005
DISARONNO INTERNATIONAL LLC,0.9755772939854562,1103853.34,1617478.8499999999,23465.11,513625.50999999995
"PREMIUM PORT WINES, INC.",0.9760765393341175,59760.740000000005,86057.76,1113.52,26297.019999999993
TY KU LLC,0.9769824612781466,12831.76,21116.879999999997,287.7,8285.119999999999
PHILLIPS PRODUCTS CO.,0.9808478942953651,86563.36,136808.53,1639.85,50245.17
TAKARA SAKE USA INC,0.9841050722225129,39742.369999999995,55817.46,384.99999999999994,16075.089999999998
